simulation,block_length,cagr,maxdd,terminal_wealth_multiple,final_capital,hit_cagr_target,hit_drawdown_limit,hit_both,severe_drawdown
4829,6,0.11087278492986341,-0.14184237262230381,6.521495040848273,65214.95040848273,True,True,True,False
4830,6,0.09043723892425981,-0.16561211531240683,4.683228636930504,46832.28636930504,True,False,False,False
4831,6,0.07730330080750991,-0.1375464793846427,3.773063931441911,37730.63931441911,True,True,True,False
4832,6,0.119578946912406,-0.12825945158752872,7.495648805196581,74956.4880519658,True,True,True,False
4833,6,0.10436880292560158,-0.14729558286135191,5.873116950798503,58731.169507985025,True,True,True,False
4834,6,0.08592385910840528,-0.15078394338277135,4.3493283082657745,43493.28308265775,True,False,False,False
4835,6,0.10258516779277294,-0.1475111449383174,5.706238719327975,57062.38719327975,True,True,True,False
4836,6,0.09212577813925993,-0.11795228760414023,4.8142547815877155,48142.54781587715,True,True,True,False
4837,6,0.1544774617749085,-0.09685373245833251,12.95808077247547,129580.80772475469,True,True,True,False
4838,6,0.13772174074524246,-0.11661229814326468,9.984117537331107,99841.17537331107,True,True,True,False
4839,6,0.10389523529301115,-0.13709983318692365,5.828365993283669,58283.659932836694,True,True,True,False
4840,6,0.09169875931616334,-0.1791440090631219,4.780796214504826,47807.96214504826,True,False,False,False
4841,6,0.10767427504256344,-0.13426542423910048,6.194628153543666,61946.281535436654,True,True,True,False
4842,6,0.16378944777182158,-0.07880391049765756,14.954104187212764,149541.04187212762,True,True,True,False
4843,6,0.13757529828278492,-0.11623100328610492,9.961224535256566,99612.24535256566,True,True,True,False
4844,6,0.10594446594298224,-0.12931193600772017,6.02435935234595,60243.5935234595,True,True,True,False
4845,6,0.1484263687260574,-0.11488323809311074,11.798848082250489,117988.48082250489,True,True,True,False
4846,6,0.10212432206983446,-0.16680972027119156,5.663855030021658,56638.55030021658,True,False,False,False
4847,6,0.10669533274484988,-0.21379049737276168,6.0977188768974155,60977.188768974156,True,False,False,True
4848,6,0.1286004365986766,-0.12416490642349087,8.649024923764367,86490.24923764367,True,True,True,False
4849,6,0.11275378165285921,-0.08823786545347279,6.721252951880772,67212.52951880773,True,True,True,False
4850,6,0.0949732000644008,-0.14931125301013193,5.043076631167532,50430.76631167532,True,True,True,False
4851,6,0.13711933670970766,-0.1346287188750298,9.890262043344629,98902.6204334463,True,True,True,False
4852,6,0.07042930429486538,-0.12140806832390383,3.3660261604430937,33660.26160443094,True,True,True,False
4853,6,0.13011943085135425,-0.1220873062128387,8.858987736720396,88589.87736720395,True,True,True,False
4854,6,0.11310732868434425,-0.14477592234341508,6.759437939437924,67594.37939437924,True,True,True,False
4855,6,0.1328215704013025,-0.14237665360722573,9.244432610863177,92444.32610863177,True,True,True,False
4856,6,0.11375255975071075,-0.11824486193044259,6.829654817179857,68296.54817179857,True,True,True,False
4857,6,0.11200543474990954,-0.12744037477389514,6.641098036345795,66410.98036345796,True,True,True,False
4858,6,0.09907065623773414,-0.1418478492645492,5.390430245343897,53904.30245343896,True,True,True,False
4859,6,0.13724669088964858,-0.09129425570056737,9.910034330918961,99100.34330918961,True,True,True,False
4860,6,0.1311140784563114,-0.10949240190766374,8.999069528243492,89990.69528243491,True,True,True,False
4861,6,0.06477593620494027,-0.17766918734261128,3.062704231075085,30627.04231075085,False,False,False,False
4862,6,0.12539106428497826,-0.1296820909397164,8.220755803919586,82207.55803919585,True,True,True,False
4863,6,0.08429278281840014,-0.11652806464651,4.2342885099687075,42342.885099687075,True,True,True,False
4864,6,0.10216930644760391,-0.17421006196845223,5.667979090153688,56679.79090153688,True,False,False,False
4865,6,0.16815430593839098,-0.09977898110009675,15.986515733069204,159865.15733069205,True,True,True,False
4866,6,0.1323701219202642,-0.19917765537106402,9.178953406731383,91789.53406731383,True,False,False,False
4867,6,0.10781032459081219,-0.13963089566773101,6.208210719560125,62082.107195601246,True,True,True,False
4868,6,0.10948378272911619,-0.15945002785809403,6.377597315204605,63775.973152046055,True,False,False,False
4869,6,0.12707454892314662,-0.13028526384217154,8.442844637609985,84428.44637609985,True,True,True,False
4870,6,0.09134086632544314,-0.16266446985629035,4.7529231172519015,47529.231172519016,True,False,False,False
4871,6,0.1357555519614524,-0.08228902909853797,9.680849927548891,96808.49927548891,True,True,True,False
4872,6,0.09733635174229671,-0.08879201430842332,5.240738635011964,52407.38635011964,True,True,True,False
4873,6,0.08792751542988242,-0.2089087029397746,4.4946854357103625,44946.85435710363,True,False,False,True
4874,6,0.14024074310182066,-0.07880391049765756,10.385766806550052,103857.66806550052,True,True,True,False
4875,6,0.08847808459663287,-0.14741115903388213,4.5354229574450455,45354.22957445045,True,True,True,False
4876,6,0.12683529384777614,-0.0883598052046477,8.410939981418027,84109.39981418027,True,True,True,False
4877,6,0.12142048682517159,-0.17388705658704584,7.718590433051842,77185.90433051842,True,False,False,False
4878,6,0.1571323701992764,-0.10627796774978715,13.499911834035458,134999.1183403546,True,True,True,False
4879,6,0.1318576536344056,-0.14102367840811048,9.10515434693433,91051.5434693433,True,True,True,False
4880,6,0.0977981638983747,-0.16720961327875072,5.280210681754542,52802.10681754542,True,False,False,False
4881,6,0.10621500134724648,-0.11474472909716482,6.050694064701178,60506.940647011776,True,True,True,False
4882,6,0.07934351726881284,-0.13585445169184962,3.9025435565770534,39025.43556577053,True,True,True,False
4883,6,0.10046718449905545,-0.12006265387721193,5.513891583096398,55138.91583096398,True,True,True,False
4884,6,0.09262891658954353,-0.13736391601079345,4.853961250377006,48539.61250377006,True,True,True,False
4885,6,0.12773098767538915,-0.10170241876529362,8.530968428487162,85309.68428487162,True,True,True,False
4886,6,0.144245181470273,-0.0821925666725557,11.055807756677739,110558.07756677739,True,True,True,False
4887,6,0.1048980183110153,-0.11647773453757171,5.923510162352591,59235.10162352591,True,True,True,False
4888,6,0.11323674663719951,-0.23042297327627614,6.773466904768599,67734.66904768598,True,False,False,True
4889,6,0.14523751862335188,-0.11108626271429856,11.228048599197924,112280.48599197925,True,True,True,False
4890,6,0.121791269141303,-0.17674700626844997,7.764228795941345,77642.28795941344,True,False,False,False
4891,6,0.07302602916858647,-0.23777601830532769,3.5146567575035492,35146.56757503549,True,False,False,True
4892,6,0.1546362338370182,-0.09819357460078693,12.989898167164425,129898.98167164424,True,True,True,False
4893,6,0.13167023991422977,-0.08260890332881865,9.078305584792849,90783.0558479285,True,True,True,False
4894,6,0.160890624943268,-0.12456483342778268,14.303585640336491,143035.85640336492,True,True,True,False
